recno,time,temp
0,2022-01-01 00:00,22.48999977
1,2022-01-01 01:00,22.69000053
2,2022-01-01 02:00,-77.69000244
3,2022-01-01 03:00,-78.08999634
4,2022-01-01 04:00,-78.16999817
5,2022-01-01 05:00,-78.25
6,2022-01-01 06:00,-78.44999695
7,2022-01-01 07:00,-78.33999634
8,2022-01-01 08:00,-77.95999908
9,2022-01-01 09:00,-77.48000336
10,2022-01-01 10:00,26.70000076
11,2022-01-01 11:00,28.23999977
12,2022-01-01 12:00,29.54999924
13,2022-01-01 13:00,29.61000061
14,2022-01-01 14:00,30.04999924
15,2022-01-01 15:00,31.02000046
16,2022-01-01 16:00,30.64999962
17,2022-01-01 17:00,30.11000061
18,2022-01-01 18:00,29.01000023
19,2022-01-01 19:00,27.40999985
20,2022-01-01 20:00,26.82999992
21,2022-01-01 21:00,26.46999931
22,2022-01-01 22:00,26.34000015
23,2022-01-01 23:00,25.79000092
24,2022-01-02 00:00,25.09000015
25,2022-01-02 01:00,24.84000015
26,2022-01-02 02:00,24.69000053
27,2022-01-02 03:00,24.11000061
28,2022-01-02 04:00,23.77000046
29,2022-01-02 05:00,23.44000053
30,2022-01-02 06:00,23.29000092
31,2022-01-02 07:00,-77.88999939
32,2022-01-02 08:00,-77.80000305
33,2022-01-02 09:00,25.20000076
34,2022-01-02 10:00,26.03000069
35,2022-01-02 11:00,26.84000015
36,2022-01-02 12:00,27.79999924
37,2022-01-02 13:00,28.46999931
38,2022-01-02 14:00,28.75
39,2022-01-02 15:00,28.68000031
40,2022-01-02 16:00,28.60000038
41,2022-01-02 17:00,28.23999977
42,2022-01-02 18:00,27.71999931
43,2022-01-02 19:00,27.12000084
44,2022-01-02 20:00,26.43000031
45,2022-01-02 21:00,25.95999908
46,2022-01-02 22:00,25.54000092
47,2022-01-02 23:00,25.40999985
48,2022-01-03 00:00,25.18000031
49,2022-01-03 01:00,24.82999992
50,2022-01-03 02:00,24.81999969
51,2022-01-03 03:00,24.56999969
52,2022-01-03 04:00,24.20999908
53,2022-01-03 05:00,24.18000031
54,2022-01-03 06:00,24.18000031
55,2022-01-03 07:00,24.32999992
56,2022-01-03 08:00,24.92000008
57,2022-01-03 09:00,24.96999931
58,2022-01-03 10:00,26.22999954
59,2022-01-03 11:00,26.72999954
60,2022-01-03 12:00,27.44000053
61,2022-01-03 13:00,26.40999985
62,2022-01-03 14:00,27.80999947
63,2022-01-03 15:00,28.29999924
64,2022-01-03 16:00,27.40999985
65,2022-01-03 17:00,27.5
66,2022-01-03 18:00,26.62000084
67,2022-01-03 19:00,25.96999931
68,2022-01-03 20:00,25.54000092
69,2022-01-03 21:00,24.65999985
70,2022-01-03 22:00,24.51000023
71,2022-01-03 23:00,24.27000046
72,2022-01-04 00:00,23.79999924
73,2022-01-04 01:00,23.77000046
74,2022-01-04 02:00,23.62999916
75,2022-01-04 03:00,23.60000038
76,2022-01-04 04:00,23.37000084
77,2022-01-04 05:00,23.36000061
78,2022-01-04 06:00,23.30999947
79,2022-01-04 07:00,23.92000008
80,2022-01-04 08:00,24.65999985
81,2022-01-04 09:00,25.37000084
82,2022-01-04 10:00,26.42000008
83,2022-01-04 11:00,27.04999924
84,2022-01-04 12:00,27.43000031
85,2022-01-04 13:00,28.86000061
86,2022-01-04 14:00,29.48999977
87,2022-01-04 15:00,29.44000053
88,2022-01-04 16:00,29.25
89,2022-01-04 17:00,28.79000092
90,2022-01-04 18:00,28.22999954
91,2022-01-04 19:00,27.37000084
92,2022-01-04 20:00,26.75
93,2022-01-04 21:00,26.17000008
94,2022-01-04 22:00,25.80999947
95,2022-01-04 23:00,25.39999962
96,2022-01-05 00:00,25.04000092
97,2022-01-05 01:00,24.51000023
98,2022-01-05 02:00,24.26000023
99,2022-01-05 03:00,24.20000076
100,2022-01-05 04:00,23.98999977
101,2022-01-05 05:00,23.71999931
102,2022-01-05 06:00,23.45000076
103,2022-01-05 07:00,24.59000015
104,2022-01-05 08:00,25.60000038
105,2022-01-05 09:00,27.65999985
106,2022-01-05 10:00,29.06999969
107,2022-01-05 11:00,30.70000076
108,2022-01-05 12:00,31.72999954
109,2022-01-05 13:00,32.43000031
110,2022-01-05 14:00,32.66999817
111,2022-01-05 15:00,29.53000069
112,2022-01-05 16:00,27.79999924
113,2022-01-05 17:00,25.95000076
114,2022-01-05 18:00,25.07999992
115,2022-01-05 19:00,24.81999969
116,2022-01-05 20:00,24.54999924
117,2022-01-05 21:00,24.37000084
118,2022-01-05 22:00,24.20999908
119,2022-01-05 23:00,24.44000053
120,2022-01-06 00:00,24.65999985
121,2022-01-06 01:00,23.82999992
122,2022-01-06 02:00,-78.59999847
123,2022-01-06 03:00,-78.73999786
